,code,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,prev_total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,position,init_price,team_code,total_points
0,121160,Ederson_Santana de Moraes_212,0,0,7,0,0.0,212,211,1,0,0.3,2.8,2020-01-12T16:30:00Z,90,7,0,0,0,0,22,0,865688,6,1,0.0,2,-29148,6716,35864,60,False,0,TTRSNMRSSNTN,1,61,43,1
1,68312,Xherdan_Shaqiri_194,0,0,5,0,14.5,194,219,0,0,1.9,4.0,2020-01-11T17:30:00Z,1,6,0,0,0,0,22,0,17519,1,0,0.0,1,-610,18,628,63,False,0,XKRKSRTN,3,63,14,0
2,37915,Hugo_Lloris_340,0,0,0,0,0.0,340,219,0,0,0.0,0.0,2020-01-11T17:30:00Z,0,14,0,0,0,0,22,0,239378,1,0,0.0,0,-3102,81,3183,53,True,0,HKLRS,1,53,6,0
3,66838,Cenk_Tosun_146,0,0,1,0,0.3,146,214,0,0,0.5,0.2,2020-01-11T12:30:00Z,22,3,0,0,0,0,22,0,8407,1,1,4.0,1,281,137,27,57,True,0,SNKTSN,4,57,11,7
4,171975,Callum_Robinson_453,0,0,0,0,0.0,453,218,0,0,0.0,0.0,2020-01-10T20:00:00Z,0,21,0,0,0,0,22,0,19466,0,1,0.0,0,-526,173,699,50,True,0,KLMRPNSN,3,49,49,1
5,85971,Heung-Min_Son_342,0,0,3,0,2.7,342,219,1,0,3.5,2.6,2020-01-11T17:30:00Z,90,14,0,0,0,0,22,0,455973,1,0,30.0,2,48462,84236,35774,98,True,0,HNKMNSN,3,97,6,3
6,19624,JoÃÂÃÂ£o Filipe Iria_Santos Moutinho_415,1,1,24,0,26.4,415,220,1,0,5.4,27.4,2020-01-11T15:00:00Z,90,4,0,0,0,0,22,0,407903,1,1,0.0,6,10429,32832,22403,54,True,0,FLPRJMTNSNTS,3,53,39,2
7,122798,Andrew_Robertson_181,0,0,21,1,10.9,181,219,0,0,2.7,6.4,2020-01-11T17:30:00Z,90,6,0,0,0,0,22,0,1413313,1,0,10.0,6,44946,80176,35230,70,False,0,ANTRRPRTSN,2,70,14,6
8,38290,Danny_Rose_332,0,0,8,0,3.3,332,219,1,0,0.8,4.6,2020-01-11T17:30:00Z,68,14,0,0,0,0,22,0,94624,1,0,0.0,2,-4696,18,4714,53,True,0,TNRS,2,53,4,0
9,58786,Martin_Kelly_128,0,0,10,0,4.8,128,214,1,0,1.5,10.0,2020-01-11T12:30:00Z,90,3,0,0,0,0,22,0,2306467,1,1,0.0,2,-64516,33817,98333,44,True,0,KLMRTN,2,41,31,1
