,code,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,prev_total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,position,init_price,team_code,total_points
0,233425,Aaron_Connolly_534,0,0,4,0,0.3,534,141,1,0,3.4,6.2,2019-12-05T20:15:00Z,75,3,0,0,0,0,15,0,179771,2,1,27.0,2,-5486,9676,15162,47,False,0,ARNKNL,4,42,36,0
1,55459,Aaron_Cresswell_376,0,0,7,0,3.6,376,146,2,0,1.5,10.4,2019-12-04T19:30:00Z,90,39,0,0,0,0,15,0,103225,0,2,1.0,0,11058,12861,1803,47,False,1,ARNKRSL,2,45,21,0
2,17349,Aaron_Lennon_430,0,0,10,0,14.5,430,142,4,0,2.7,10.0,2019-12-03T20:15:00Z,90,43,0,0,0,0,15,0,6628,4,1,2.0,2,-77,73,150,47,True,0,ARNLNN,3,46,90,1
3,74471,Aaron_Mooy_516,1,3,30,0,38.1,516,141,1,0,12.1,43.4,2019-12-05T20:15:00Z,90,3,0,0,0,0,15,0,10357,2,1,39.0,8,-54,203,257,48,False,0,ARNM,3,47,36,2
4,225321,Aaron_Ramsdale_494,0,0,11,0,0.0,494,148,1,0,0.6,6.4,2019-12-03T19:30:00Z,90,31,0,0,0,0,15,1,301059,0,1,0.0,2,-5904,6854,12758,47,False,0,ARNRMSTL,1,44,91,3
5,214590,Aaron_Wan-Bissaka_122,0,0,14,0,2.6,122,144,1,0,2.4,15.0,2019-12-04T19:30:00Z,90,6,0,0,0,0,15,0,1067898,1,2,6.0,2,-47977,2155,50132,53,True,0,ARNPSKN,2,55,1,3
6,121599,Abdoulaye_DoucourÃÂÃÂ©_368,0,0,3,0,4.7,368,143,2,0,1.6,5.4,2019-12-04T19:30:00Z,90,13,0,0,0,0,15,0,69332,0,2,6.0,1,-3120,311,3431,57,False,1,APTLTKR,3,54,57,2
7,159533,Adama_TraorÃÂÃÂ©_417,0,0,8,1,27.3,417,146,0,0,5.3,17.2,2019-12-04T19:30:00Z,88,21,0,0,0,0,15,0,353223,0,2,8.0,3,8379,26513,18134,52,True,0,ATMTRR,3,56,39,2
8,432735,Adam_Idah_538,0,0,0,0,0.0,538,150,0,0,0.0,0.0,2019-12-04T19:30:00Z,0,20,0,0,0,0,15,0,7335,1,2,0.0,0,-93,188,281,45,False,0,ATMT,4,44,45,0
9,39155,Adam_Lallana_195,0,0,6,0,2.1,195,149,2,0,1.0,3.4,2019-12-04T20:15:00Z,71,11,0,0,0,0,15,0,8864,2,5,4.0,2,-125,62,187,58,True,0,ATMLLN,3,57,14,0
