,code,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,prev_total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,position,init_price,team_code,total_points
0,240143,Ibrahima Diallo,0,0,12,1,3.0,565,141,0,0,1.3,10.0,2020-12-26T15:00:00Z,90,54,0,0,0,0,15,0,1698,0,0,0.0,3,124,326,202,45,False,0,TLPRHM,3,45,20,0
1,101537,Felipe Anderson Pereira Gomes,0,0,0,0,0.0,440,147,0,0,0.0,0.0,2020-12-27T14:15:00Z,0,36,0,0,0,0,15,0,9619,2,2,0.0,0,-135,4,139,61,True,0,ANTRSNFLPKMSPRR,3,61,21,0
2,43670,Juan Mata,0,0,0,0,0.0,290,143,0,0,0.0,0.0,2020-12-26T12:30:00Z,0,13,0,0,0,0,15,0,11180,2,2,0.0,0,-621,249,870,59,False,0,JNMT,3,58,1,0
3,233425,Aaron Connolly,0,0,0,0,0.0,78,147,0,0,0.0,0.0,2020-12-27T14:15:00Z,0,21,0,0,0,0,15,0,31512,2,2,0.0,0,-1071,1440,2511,53,False,0,ARNKNL,4,52,36,0
4,79934,Oliver Norwood,0,0,8,0,57.5,349,146,1,0,6.5,7.8,2020-12-26T20:00:00Z,27,11,0,0,0,0,15,0,12066,1,0,0.0,1,-336,324,660,46,True,0,NRTLFR,3,45,49,1
5,38716,Lee Peltier,0,0,0,0,0.0,600,144,0,0,0.0,0.0,2020-12-27T16:30:00Z,0,14,0,0,0,0,15,0,4462,1,1,0.0,0,253,686,433,40,False,0,LPLT,2,39,35,0
6,432927,Daniel Langley,0,0,0,0,0.0,606,145,0,0,0.0,0.0,2020-12-26T20:00:00Z,0,43,0,0,0,0,15,0,2960,0,2,0.0,0,1114,1514,400,40,False,0,TNLLNKL,1,39,4,0
7,82403,Wilfried Zaha,0,0,0,0,11.7,141,140,3,0,4.7,9.2,2020-12-26T15:00:00Z,90,7,0,0,0,0,15,0,1606382,0,3,26.0,1,-90788,86747,177535,75,False,1,ALFRTSH,3,71,31,7
8,220037,Bailey Peacock-Farrell,0,0,0,0,0.0,99,142,0,0,0.0,0.0,2020-12-27T12:00:00Z,0,2,0,0,0,0,15,0,122493,0,1,0.0,0,2206,3840,1634,40,False,0,PLFRLPKK,1,40,90,0
9,90105,Ryan Fraser,0,0,0,0,0.0,507,145,0,0,0.0,0.0,2020-12-26T20:00:00Z,0,43,0,0,0,0,15,0,14790,0,2,0.0,0,-902,236,1138,56,False,0,FRSRRN,3,56,4,0
