,code,name,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,prev_total_points,transfers_balance,transfers_in,transfers_out,current_price,was_home,yellow_cards,name_p,position,init_price,team_code,total_points
0,240143,Ibrahima Diallo,0,0,7,0,3.9,565,183,1,0,1.3,9.2,2021-01-16T20:00:00Z,86,13,0,0,0,0,19,0,2548,0,2,0.0,1,163,402,239,45,False,1,TLPRHM,3,45,20,2
1,101537,Felipe Anderson Pereira Gomes,0,0,0,0,0.0,440,187,0,0,0.0,0.0,2021-01-16T15:00:00Z,0,90,0,0,0,0,19,0,9398,0,1,0.0,0,-24,4,28,61,True,0,ANTRSNFLPKMSPRR,3,61,21,0
2,103955,Raheem Sterling,0,0,25,1,6.2,276,185,0,1,8.5,41.8,2021-01-17T19:15:00Z,90,31,0,0,0,0,19,0,336494,0,4,37.0,8,-8383,33191,41574,114,True,0,RHMSTRLNK,3,109,43,11
3,43670,Juan Mata,0,0,0,0,0.0,290,184,0,0,0.0,0.0,2021-01-17T16:30:00Z,0,14,0,0,0,0,19,0,10810,0,0,0.0,0,-111,100,211,58,False,0,JNMT,3,58,1,0
4,233425,Aaron Connolly,0,0,0,0,0.0,78,182,0,0,0.0,0.0,2021-01-16T15:00:00Z,0,2,0,0,0,0,19,0,25125,1,0,0.0,0,-1502,135,1637,52,False,0,ARNKNL,4,52,36,0
5,79934,Oliver Norwood,0,0,10,0,37.8,349,186,3,0,6.1,15.2,2021-01-17T14:00:00Z,66,6,0,0,0,0,19,0,11373,3,1,8.0,1,-294,221,515,46,True,1,NRTLFR,3,45,49,2
6,38716,Lee Peltier,0,0,0,0,0.0,600,188,0,0,0.0,0.0,2021-01-16T12:30:00Z,0,39,0,0,0,0,19,0,5514,3,2,0.0,0,112,449,337,40,False,0,LPLT,2,39,35,0
7,432927,Daniel Langley,0,0,0,0,0.0,606,179,0,0,0.0,0.0,2021-01-18T20:00:00Z,0,3,0,0,0,0,19,0,6285,0,3,0.0,0,370,1050,680,40,False,0,TNLLNKL,1,39,4,0
8,82403,Wilfried Zaha,0,0,0,0,0.0,141,185,0,0,0.0,0.0,2021-01-17T19:15:00Z,0,43,0,0,0,0,19,0,1313208,0,4,0.0,0,-264972,16420,281392,73,False,0,ALFRTSH,3,71,31,7
9,220037,Bailey Peacock-Farrell,0,0,0,0,0.0,99,187,0,0,0.0,0.0,2021-01-16T15:00:00Z,0,21,0,0,0,0,19,0,111735,0,1,0.0,0,-6588,677,7265,40,False,0,PLFRLPKK,1,40,90,0
